종목코드,종목명,종가,대비,등락률,EPS,PER,BPS,PBR,주당배당금,배당수익률,,2021
4720,팜젠사이언스 ,10500,-100,-0.94,675,15.56,5677,1.85,0,0,,
4770,써니전자 ,3260,-30,-0.91,170,19.18,1832,1.78,0,0,,
4780,대륙제관 ,5230,-120,-2.24,757,6.91,7316,0.71,150,2.87,,
4800,효성 ,97900,600,0.62,,,105988,0.92,5000,5.11,,
4830,덕성 ,16550,0,0,232,71.34,3880,4.27,45,0.27,,
4835,덕성우 ,19900,-50,-0.25,,,,,50,0.25,,
4840,DRB동일 ,5090,-60,-1.17,121,42.07,17702,0.29,50,0.98,,
4870,티웨이홀딩스 ,1010,0,0,,,923,1.09,0,0,,
4890,동일산업 ,141000,500,0.36,3700,38.11,148639,0.95,1800,1.28,,
4910,조광페인트 ,8320,-10,-0.12,436,19.08,15814,0.53,200,2.4,,
4920,씨아이테크 ,1010,10,1,,,1283,0.79,0,0,,
4960,한신공영 ,16800,-500,-2.89,9155,1.84,52869,0.32,400,2.38,,
4970,신라교역 ,13500,50,0.37,479,28.18,32370,0.42,500,3.7,,
4980,성신양회 ,12150,-200,-1.62,416,29.21,16113,0.75,150,1.23,,
4985,성신양회우 ,15250,-50,-0.33,,,,,200,1.31,,
4990,롯데지주 ,31900,-200,-0.62,,,60599,0.53,1000,3.13,,
5010,휴스틸 ,14900,100,0.68,1134,13.14,54380,0.27,200,1.34,,
5030,부산주공 ,610,-7,-1.13,,,469,1.3,0,0,,
5070,코스모신소재 ,47000,-1000,-2.08,401,117.21,6045,7.78,0,0,,
5090,SGC에너지 ,47250,250,0.53,1792,26.37,38628,1.22,1500,3.17,,
5110,한창 ,1015,-15,-1.46,,,544,1.87,0,0,,
5160,동국산업 ,3685,-5,-0.14,127,29.02,7079,0.52,130,3.53,,
5180,빙그레 ,55100,-200,-0.36,3944,13.97,59843,0.92,1600,2.9,,
5250,녹십자홀딩스 ,26550,400,1.53,3793,7,18556,1.43,500,1.88,,
5257,녹십자홀딩스2우 ,59000,-1000,-1.67,,,,,500,0.85,,
5290,동진쎄미켐 ,37100,-1350,-3.51,1658,22.38,8437,4.4,100,0.27,,
5300,롯데칠성 ,141000,500,0.36,,,132776,1.06,2700,1.91,,
5305,롯데칠성우 ,70600,0,0,,,,,2705,3.83,,
5320,국동 ,2355,-30,-1.26,458,5.14,2309,1.02,50,2.12,,
5360,모나미 ,4410,-30,-0.68,4,1102.5,4630,0.95,70,1.59,,
5380,현대차 ,210000,-2000,-0.94,5454,38.5,250888,0.84,3000,1.43,,
5385,현대차우 ,97400,-700,-0.71,,,,,3050,3.13,,
5387,현대차2우B ,99000,-1500,-1.49,,,,,3100,3.13,,
5389,현대차3우B ,93800,-1100,-1.16,,,,,3050,3.25,,
5390,신성통상 ,3170,20,0.63,51,62.16,1652,1.92,0,0,,
5420,코스모화학 ,16300,-250,-1.51,,,4716,3.46,0,0,,
5430,한국공항 ,42200,-250,-0.59,,,86072,0.49,0,0,,
5440,현대그린푸드 ,8670,-170,-1.92,815,10.64,18231,0.48,210,2.42,,
5490,POSCO ,277000,-3500,-1.25,20165,13.74,508464,0.54,8000,2.89,,
5500,삼진제약 ,26300,50,0.19,2266,11.61,15357,1.71,800,3.04,,
5610,SPC삼립 ,71100,-500,-0.7,,,35114,2.02,1104,1.55,,
5670,푸드웰 ,6550,-50,-0.76,423,15.48,8013,0.82,85,1.3,,
5680,삼영전자 ,11000,-100,-0.9,571,19.26,24545,0.45,250,2.27,,
5690,파미셀 ,12750,350,2.82,87,146.55,952,13.39,0,0,,
5710,대원산업 ,6910,-120,-1.71,902,7.66,16584,0.42,125,1.81,,
5720,넥센 ,4820,-65,-1.33,194,24.85,18401,0.26,85,1.76,,
5725,넥센우 ,3520,5,0.14,,,,,90,2.56,,
5740,크라운해태홀딩스 ,8500,-40,-0.47,1527,5.57,18262,0.47,100,1.18,,
5745,크라운해태홀딩스우 ,12850,50,0.39,,,,,105,0.82,,
5750,대림B&Co ,7620,-290,-3.67,,,9517,0.8,130,1.71,,
5800,신영와코루 ,115500,0,0,3245,35.59,352404,0.33,1500,1.3,,
5810,풍산홀딩스 ,28100,0,0,1454,19.33,63127,0.45,1200,4.27,,
5820,원림 ,20100,-150,-0.74,7819,2.57,45998,0.44,500,2.49,,
5830,DB손해보험 ,55100,-800,-1.43,9171,6.01,90596,0.61,2200,3.99,,
5850,에스엘 ,34700,800,2.36,1420,24.44,29241,1.19,500,1.44,,
5860,한일사료 ,2000,-15,-0.74,55,36.36,1590,1.26,25,1.25,,
5870,휴니드 ,7230,-40,-0.55,432,16.74,8452,0.86,0,0,,
5880,대한해운 ,2585,5,0.19,34,76.03,2946,0.88,0,0,,
5930,삼성전자 ,73700,-1100,-1.47,3841,19.19,39406,1.87,2994,4.06,,
5935,삼성전자우 ,67800,-700,-1.02,,,,,2995,4.42,,
5940,NH투자증권 ,13000,-100,-0.76,1923,6.76,19308,0.67,700,5.38,,
5945,NH투자증권우 ,12550,-100,-0.79,,,,,750,5.98,,
5950,이수화학 ,16150,350,2.22,,,10682,1.51,300,1.86,,
5960,동부건설 ,14750,-100,-0.67,1974,7.47,20042,0.74,900,6.1,,
5965,동부건설우 ,32850,-50,-0.15,,,,,950,2.89,,
5990,매일홀딩스 ,9290,80,0.87,154,60.32,20924,0.44,140,1.51,,
6040,동원산업 ,216500,-500,-0.23,70124,3.09,340108,0.64,5000,2.31,,
6050,국영지앤엠 ,2155,-55,-2.49,,,1462,1.47,0,0,,
6060,화승인더 ,6310,-50,-0.79,698,9.04,6374,0.99,188,2.98,,
6090,사조오양 ,9060,-100,-1.09,1959,4.62,19611,0.46,150,1.66,,
6110,삼아알미늄 ,35300,250,0.71,319,110.66,10036,3.52,100,0.28,,
6120,SK디스커버리 ,47250,-250,-0.53,13096,3.61,95458,0.49,1000,2.12,,
6125,SK디스커버리우 ,35900,-400,-1.1,,,,,1050,2.92,,
6140,피제이전자 ,8190,260,3.28,331,24.74,7305,1.12,100,1.22,,
6200,한국전자홀딩스 ,2250,-115,-4.86,,,2169,1.04,0,0,,
6220,제주은행 ,5860,-110,-1.84,481,12.18,15856,0.37,100,1.71,,
6260,LS ,54600,-300,-0.55,4568,11.95,101468,0.54,1450,2.66,,
6280,녹십자 ,228500,2000,0.88,7101,32.18,95710,2.39,1500,0.66,,
6340,대원전선 ,1720,-10,-0.58,32,53.75,1159,1.48,0,0,,
6345,대원전선우 ,2975,-20,-0.67,,,,,0,0,,
6360,GS건설 ,39050,-450,-1.14,3919,9.96,51311,0.76,1200,3.07,,
6370,대구백화점 ,10350,250,2.48,,,24233,0.43,100,0.97,,
6380,카프로 ,4300,45,1.06,,,3095,1.39,0,0,,
6390,한일현대시멘트 ,34900,800,2.35,3732,9.35,15211,2.29,1100,3.15,,
6400,삼성SDI ,715000,-15000,-2.05,8593,83.21,184387,3.88,1000,0.14,,
